tconst	averageRating	numVotes
tt0000675	4.3	23
tt0000862	4.5	19
tt0001113	4.8	19
tt0001230	5.2	33
tt0001240	3.8	24
tt0001370	5.0	25
tt0002199	5.8	670
tt0002445	6.1	484
tt0002574	6.2	36
tt0003316	6.7	22
tt0003351	4.5	17
tt0003565	6.3	53
tt0003587	5.3	42
tt0003657	6.5	268
tt0003768	3.7	21
tt0003854	4.0	30
tt0003884	6.3	123
tt0003886	6.2	32
tt0004013	4.8	49
tt0004126	3.8	15
tt0004167	7.9	24
tt0004303	4.7	21
tt0004325	5.8	38
tt0004337	7.6	14
tt0004371	6.7	20
tt0004381	2.6	25
tt0004504	6.6	16
tt0004514	7.0	16
tt0004593	5.9	75
tt0004635	5.6	1085
tt0004727	2.5	28
tt0004779	7.0	13
tt0004832	5.4	56
tt0004846	5.2	39
tt0004872	6.6	294
tt0004911	5.7	16
tt0005041	6.6	68
tt0005061	4.2	52
tt0005095	7.8	16
tt0005149	6.0	348
tt0005172	6.3	34
tt0005328	4.7	19
tt0005381	5.5	101
tt0005384	6.4	34
tt0005415	4.6	11
tt0005535	7.4	47
tt0005551	6.9	42
tt0005561	8.0	21
tt0005589	6.6	34
tt0005642	6.0	8
tt0005700	5.9	39
tt0005770	6.6	18
tt0005772	4.4	30
tt0005809	6.8	328
tt0005979	7.0	21
tt0005997	5.8	26
tt0006041	5.9	19
tt0006101	7.2	36
tt0006102	5.3	73
tt0006108	7.9	13
tt0006199	8.6	14
tt0006202	5.0	20
tt0006204	6.4	27
tt0006299	8.3	24
tt0006345	4.5	12
tt0006357	6.1	136
tt0006419	3.8	20
tt0006433	7.4	14
tt0006441	3.2	18
tt0006566	4.7	15
tt0006589	6.4	199
tt0006600	3.7	31
tt0006617	6.1	282
tt0006719	5.6	17
tt0006731	5.8	674
tt0006766	7.7	19
tt0006778	7.4	17
tt0006861	6.4	56
tt0006895	5.4	106
tt0006914	5.8	62
tt0006922	5.4	13
tt0006933	6.0	16
tt0007000	7.7	18
tt0007008	6.0	14
tt0007009	4.9	21
tt0007012	4.4	33
tt0007183	6.6	889
tt0007220	4.9	21
tt0007230	7.8	14
tt0007272	7.2	34
tt0007410	4.5	41
tt0007429	7.8	13
tt0007506	5.9	21
tt0007518	5.7	23
tt0007614	6.8	28
tt0007623	7.8	17
tt0007679	5.3	23
tt0007708	6.8	14
tt0007743	4.8	14
tt0007755	6.1	725
tt0007798	6.8	14
tt0007811	6.2	28
tt0007902	6.4	15
tt0008004	6.9	31
tt0008050	7.8	12
tt0008125	6.8	14
tt0008177	6.3	20
tt0008389	5.6	42
tt0008442	6.9	74
tt0008495	3.7	15
tt0008560	5.8	18
tt0008565	6.9	28
tt0008570	3.0	20
tt0008595	7.8	13
tt0008651	3.6	31
tt0008659	7.5	14
tt0008662	5.8	71
tt0008720	5.5	17
tt0008786	6.1	127
tt0008836	5.3	44
tt0008845	5.5	29
tt0008947	1.6	15
tt0008954	6.9	15
tt0009017	7.8	40
tt0009020	7.4	24
tt0009021	5.3	14
tt0009029	8.0	15
tt0009047	6.5	52
tt0009109	6.3	149
tt0009124	8.0	14
tt0009137	7.0	36
tt0009219	4.2	18
tt0009232	3.5	8
tt0009265	7.4	12
tt0009304	5.5	27
tt0009431	6.0	19
tt0009455	6.6	15
tt0009458	7.0	11
tt0009465	6.0	14
tt0009475	5.3	534
tt0009492	7.5	31
tt0009532	5.0	15
tt0009578	2.7	28
tt0009593	7.5	20
tt0009690	4.2	55
tt0009712	5.0	12
tt0009722	8.2	15
